Sample_Index,Time_s,Clean_ADC
150,37.5,110.384083479911
151,37.75,144.979970651243
152,38,180.510948520047
153,38.25,215.344150126154
154,38.5,247.741740031558
155,38.75,275.955868927489
156,39,298.329646279803
157,39.25,313.396729809892
158,39.5,319.971898368296
159,39.75,317.225556598354
160,40,304.736456396263
161,40.25,282.518816160632
162,40.5,251.022205325652
163,40.75,211.104771239729
164,41,163.982404403192
165,41.25,111.158121338747
166,41.5,54.3372012872141
167,41.75,-4.66561546465216
168,42,-64.0203137582298
169,42.25,-121.970916433682
170,42.5,-176.914477958385
171,42.75,-227.465551491011
172,43,-272.503432148392
173,43.25,-311.201062443319
174,43.5,-343.035945413536
175,43.75,-367.784598562644
176,44,-385.502924604746
177,44.25,-396.495372990732
178,44.5,-401.275966338031
179,44.75,-400.524232361244
180,45,-395.038876206102
181,45.25,-385.691703103174
182,45.5,-373.383903094428
183,45.75,-359.006379041306
184,46,-343.405368991593
185,46.25,-327.354204585574
186,46.5,-311.531665333415
187,46.75,-296.50703301547
188,47,-282.731621394018
189,47.25,-270.536263435741
190,47.5,-260.134000992516
191,47.75,-251.627063423347
192,48,-245.017157945532
193,48.25,-240.218125547015
194,48.5,-237.070122750162
195,48.75,-235.354636984643
196,49,-234.809792714209
197,49.25,-235.145525212314
198,49.5,-236.058273551962
199,49.75,-237.244876222851
200,50,-238.415356981914
201,50.25,-239.304285534706
202,50.5,-239.680406390448
203,50.75,-239.354263036044
204,51,-238.18360936253
205,51.25,-236.076494311632
206,51.5,-232.99202008602
207,51.75,-228.938894375877
208,52,-223.972005546405
209,52.25,-218.187330988269
210,52.5,-211.715533691346
211,52.75,-204.714610626377
212,53,-197.361937242464
213,53.25,-189.846018414447
214,53.5,-182.358220218624
215,53.75,-175.084727389426
216,54,-168.198950447674
217,54.25,-161.854590685796
218,54.5,-156.179553369572
219,54.75,-151.270872776353
220,55,-147.19077371999
221,55.25,-143.963944877793
222,55.5,-141.57604603744
223,55.75,-139.973423634093
224,56,-139.063976643425
225,56.25,-138.719106505757
226,56.5,-138.776704624719
227,56.75,-139.045176347379
228,57,-139.308558991261
229,57.25,-139.332841907104
230,57.5,-138.873611768436
231,57.75,-137.685101133582
232,58,-135.530598259047
233,58.25,-132.193984496049
234,58.5,-127.491927249294
235,58.75,-121.286015706503
236,59,-113.49393783257
237,59.25,-104.098709682159
238,59.5,-93.1550093078062
239,59.75,-80.7918336647698
240,60,-67.2109573411503
241,60.25,-52.6809853383433
242,60.5,-37.5271236826894
243,60.75,-22.1171196813583
244,61,-6.84413224658418
245,61.25,7.89244127606988
246,61.5,21.7069679371826
247,61.75,34.2471281914264
248,62,45.2117975912205
249,62.25,54.3662453020286
250,62.5,61.5539142915635
251,62.75,66.7043548081838
252,63,69.8371703574363
253,63.25,71.062081145851
254,63.5,70.5754060178031
255,63.75,68.6534023323945
256,64,65.6429697206478
257,64.25,61.9502057611034
258,64.5,58.0272040634293
259,64.75,54.3573394424759
260,65,51.4391435548418
261,65.25,49.7687935216019
262,65.5,49.8212543466228
263,65.75,52.0302431290406
264,66,56.7674014182172
265,66.25,64.3213363714211
266,66.5,74.8774800557448
267,66.75,88.4999782987711
268,67,105.117018015236
269,67.25,124.511100224248
270,67.5,146.315733682589
271,67.75,170.019834493596
272,68,194.980751319008
273,68.25,220.446288874525
274,68.5,245.585392383536
275,68.75,269.526334535866
276,69,291.400405715358
277,69.25,310.388371669152
278,69.5,325.766462162994
279,69.75,336.948492558746
280,70,343.520938250716
281,70.25,345.268343636172
282,70.5,342.187253530719
283,70.75,334.487775972868
284,71,322.582797709388
285,71.25,307.065686209402
286,71.5,288.677975988164
287,71.75,268.269041554605
288,72,246.750118996619
289,72.25,225.045277144109
290,72.5,204.042076132898
291,72.75,184.544689190301
292,73,167.23218739902
293,73.25,152.624469329297
294,73.5,141.057929812681
295,73.75,132.672391202957
296,74,127.410079213878
297,74.25,125.026559904746
298,74.5,125.112643157884
299,74.75,127.12540377486
300,75,130.425784901831
301,75.25,134.319826318757
302,75.5,138.100460092171
303,75.75,141.087039767701
304,76,142.660259332519
305,76.25,142.29077467104
306,76.5,139.560550198286
307,76.75,134.176620716358
308,77,125.977521717342
309,77.25,114.933073474764
310,77.5,101.13850096506
311,77.75,84.8040371312949
312,78,66.2411971286784
313,78.25,45.846835591753
314,78.5,24.0859269890083
315,78.75,1.47377330201029
316,79,-21.4419129806649
317,79.25,-44.0988315017854
318,79.5,-65.9377608740199
319,79.75,-86.4200618718902
320,80,-105.044944009561
321,80.25,-121.366247611574
322,80.5,-135.008244038207
323,80.75,-145.679692582311
324,81,-153.185190071317
325,81.25,-157.432786228726
326,81.5,-158.436971826762
327,81.75,-156.316490186107
328,82,-151.286926840441
329,82.25,-143.648591399685
330,82.5,-133.770687916285
331,82.75,-122.073065151908
332,83,-109.006900538867
333,83.25,-95.0355362953717
334,83.5,-80.6164466863328
335,83.75,-66.1850743458192
336,84,-52.1410915169494
337,84.25,-38.8375146710481
338,84.5,-26.5729760773324
339,84.75,-15.5872779676627
340,85,-6.06010699918081
341,85.25,1.88749579263295
342,85.5,8.18956222793238
343,85.75,12.8303193058807
344,86,15.8388095802703
345,86.25,17.2836812424592
346,86.5,17.2685900765263
347,86.75,15.9283841322262
348,87,13.4259863048658
349,87.25,9.94969555823015
350,87.5,5.71052011512636
351,87.75,0.939139154550686
352,88,-4.11785296646873
353,88.25,-9.20266361173932
354,88.5,-14.0521083650598
355,88.75,-18.4045312016018
356,89,-22.0077763674521
357,89.25,-24.6280733836236
358,89.5,-26.0596110595647
359,89.75,-26.1344668721802
360,90,-24.7324253722146
361,90.25,-21.7900861225416
362,90.5,-17.3085670560623
363,90.75,-11.3590922538982
364,91,-4.08583421959141
365,91.25,4.29445088886673
366,91.5,13.4962402290718
367,91.75,23.1725462039798
368,92,32.9255697782658
369,92.25,42.3204653338749
370,92.5,50.9019122815389
371,92.75,58.21312551214
372,93,63.8168370621799
373,93.25,67.3176272420696
374,93.5,68.3847834855194
375,93.75,66.7746448163599
376,94,62.3511755334568
377,94.25,55.103321680611
378,94.5,45.1575539142259
379,94.75,32.7839208001201
380,95,18.3939851729234
381,95.25,2.52927239645033
382,95.5,-14.160604575728
383,95.75,-30.9501378149026
384,96,-47.0793385389702
385,96.25,-61.8020750405767
386,96.5,-74.4379211813863
387,96.75,-84.423277072781
388,97,-91.3571465757421
389,97.25,-95.0371022902474
390,97.5,-95.4816247934878
391,97.75,-92.9360903062523
392,98,-87.8610849040455
393,98.25,-80.9033104437617
394,98.5,-72.8509669055999
395,98.75,-64.5769782503188
396,99,-56.9745973525582
397,99.25,-50.8906261721553
398,99.5,-47.0616268592403
399,99.75,-46.0580729047642
400,100,-48.2404830053176
401,100.25,-53.7303482893848
402,100.5,-62.3972890228898
403,100.75,-73.8625335715594
404,101,-87.5176399519062
405,101.25,-102.556473867866
406,101.5,-118.017863286212
407,101.75,-132.836065012268
408,102,-145.896154766966
409,102.25,-156.091609970421
410,102.5,-162.381607196291
411,102.75,-163.845831445998
412,103,-159.73484551018
413,103.25,-149.514274792199
414,103.5,-132.901225595169
415,103.75,-109.891484364485
416,104,-80.7761613398668
417,104.25,-46.1465727580331
418,104.5,-6.88633818694538
419,104.75,35.8500549430684
420,105,80.6725628435844
421,105.25,126.004560529723
422,105.5,170.144558412558
423,105.75,211.338887666197
424,106,247.86262163065
425,106.25,278.104987858086
426,106.5,300.654559662311
427,106.75,314.378750895731
428,107,318.491772018168
429,107.25,312.605442300527
430,107.5,296.758229770874
431,107.75,271.419603268292
432,108,237.469037014573
433,108.25,196.15144267057
434,108.5,149.012972793861
435,108.75,97.8226599322599
436,109,44.4860295061256
437,109.25,-9.04331587528528
438,109.5,-60.8488896885248
439,109.75,-109.129120838458
440,110,-152.264763256253
441,110.25,-188.874039208485
442,110.5,-217.854624560287
443,110.75,-238.41239679849
444,111,-250.077483023849
445,111.25,-252.708550671528
446,111.5,-246.48648327918
447,111.75,-231.898610553261
448,112,-209.714574246207
449,112.25,-180.954775100368
450,112.5,-146.852216534772
451,112.75,-108.808471560532
452,113,-68.344466490223
453,113.25,-27.0468109047574
454,113.5,13.4894677550673
455,113.75,51.7206656412058
456,114,86.2150698665444
457,114.25,115.712398021505
458,114.5,139.17914861734
459,114.75,155.856350230882
460,115,165.295834282976
461,115.25,167.381319177049
462,115.5,162.33143107105
463,115.75,150.683276549283
464,116,133.257103167807
465,116.25,111.104565159864
466,116.5,85.4447518718677
467,116.75,57.5931359704947
468,117,28.8888475867764
469,117.25,0.625265704163848
470,117.5,-26.0119472254767
471,117.75,-49.9963147261774
472,118,-70.4995551737702
473,118.25,-86.9171572025878
474,118.5,-98.8804050223483
475,118.75,-106.255459231454
476,119,-109.130697553288
477,119.25,-107.79399792811
478,119.5,-102.701995997738
479,119.75,-94.4435605497256
480,120,-83.6998022261694
481,120.25,-71.2028751583349
482,120.5,-57.695674218093
483,120.75,-43.8943049644556
484,121,-30.4549375320834
485,121.25,-17.9463641883605
486,121.5,-6.82926129667697
487,121.75,2.55720030265838
488,122,10.0011510620345
489,122.25,15.4164052845847
490,122.5,18.8340306741819
491,122.75,20.3880760783457
492,123,20.2967176515955
493,123.25,18.8402767760547
494,123.5,16.3376640738995
495,123.75,13.1228223007633
496,124,9.52267884853662
497,124.25,5.83796562634655
498,124.5,2.32800544311071
499,124.75,-0.799802455505205
500,125,-3.39551321658082
501,125.25,-5.3673715790742
502,125.5,-6.67836162148492
503,125.75,-7.33948627343513
504,126,-7.4008433882884
505,126.25,-6.94156649059146
506,126.5,-6.05958468944383
507,126.75,-4.86197763553989
508,127,-3.4565040614891
509,127.25,-1.94469674363387
510,127.5,-0.416753510330402
511,127.75,1.05169116289114
512,128,2.40096637480055
513,128.25,3.58712298601266
514,128.5,4.58035971724359
515,128.75,5.36252358560568
516,129,5.92414064033589
517,129.25,6.26142419986243
518,129.5,6.37364411046908
519,129.75,6.26113888129259
520,130,5.92413612143805
521,130.25,5.36243626983415
522,130.5,4.57592272228305
523,130.75,3.56579150547718
524,131,2.33634253090606
525,131.25,0.897136597966943
526,131.5,-0.734707037984863
527,131.75,-2.53232056863428
528,132,-4.45726806729266
529,132.25,-6.45836225226861
530,132.5,-8.47136697519148
531,132.75,-10.4197917025622
532,133,-12.2169091335624
533,133.25,-13.7690209895988
534,133.5,-14.9798700761204
535,133.75,-15.7559676291277
536,134,-16.012496093559
537,134.25,-15.6793776413757
538,134.5,-14.707076615993
539,134.75,-13.0717254382385
540,135,-10.7792135510212
541,135.25,-7.86793945884508
542,135.5,-4.40998382810945
543,135.75,-0.510515345818192
544,136,3.69469936442806
545,136.25,8.04372928779927
546,136.5,12.3547889247314
547,136.75,16.4342100846542
548,137,20.0856978478916
549,137.25,23.1203432711268
550,137.5,25.3667610797856
551,137.75,26.6806837635039
552,138,26.9533784799824
553,138.25,26.1183465364391
554,138.5,24.1558936307414
555,138.75,21.0953001416208
556,139,17.0144607985084
557,139.25,12.036997650908
558,139.5,6.32697954758119
559,139.75,0.0815042716656746
560,140,-6.47848857771561
561,140.25,-13.1187114166396
562,140.5,-19.6027949063697
563,140.75,-25.7037454345482
564,141,-31.214991122804
565,141.25,-35.9604179992561
566,141.5,-39.8028310191932
567,141.75,-42.6503408900704
568,142,-44.4602811765293
569,142.25,-45.2404009867101
570,142.5,-45.0472499634581
571,142.75,-43.9818603578554
572,143,-42.1830169230123
573,143.25,-39.8185701976815
574,143.5,-37.0753772422739
575,143.75,-34.1485364583627
576,144,-31.2306148562369
577,144.25,-28.501544634438
578,144.5,-26.1197904570358
579,144.75,-24.2152623639832
580,145,-22.8842826444488
581,145.25,-22.186729369976
582,145.5,-22.1453033840604
583,145.75,-22.7467274015129
584,146,-23.9446023836435
585,146.25,-25.6636166379317
586,146.5,-27.8048096336258
587,146.75,-30.2516100302413
