Sample_Index,Time_s,Clean_ADC
0,0,58.1771995668676
1,0.25,63.002667332083
2,0.5,68.3359706150089
3,0.75,74.5232284401253
4,1,81.8654937258535
5,1.25,90.6006197482229
6,1.5,100.888074488447
7,1.75,112.79738539286
8,2,126.3007171784
9,2.25,141.269945045467
10,2.5,157.478474306851
11,2.75,174.607941145059
12,3,192.259768463111
13,3.25,209.971318563324
14,3.5,227.236078822013
15,3.75,243.526966197349
16,4,258.321496832837
17,4.25,271.12730689294
18,4.5,281.506390141256
19,4.75,289.096467428299
20,5,293.628116448881
21,5.25,294.936630318391
22,5.5,292.967990998776
23,5.75,287.778789983953
24,6,279.530363126363
25,6.25,268.477795331135
26,6.5,254.954764829084
27,6.75,239.355409978469
28,7,222.114493341521
29,7.25,203.687097860398
30,7.5,184.528926139404
31,7.75,165.078018885098
32,8,145.738421041282
33,8.25,126.866078859313
34,8.5,108.757118136469
35,8.75,91.63867157117
36,9,75.6625763159649
37,9.25,60.9024768401947
38,9.5,47.355026490199
39,9.75,34.945860426281
40,10,23.5407254432635
41,10.25,12.9615826749055
42,10.5,3.00672227508221
43,10.75,-6.52689356059283
44,11,-15.8214947518738
45,11.25,-25.0192775743661
46,11.5,-34.2085371540254
47,11.75,-43.4168300777517
48,12,-52.6116990448207
49,12.25,-61.7082608162162
50,12.5,-70.5819331488452
51,12.75,-79.0839744300364
52,13,-87.0574105976667
53,13.25,-94.3512668390945
54,13.5,-100.831654178197
55,13.75,-106.389004719661
56,14,-110.941451166675
57,14.25,-114.434905518446
58,14.5,-116.840762889504
59,14.75,-118.152336707266
60,15,-118.381143774313
61,15.25,-117.554032449686
62,15.5,-115.71191337033
63,15.75,-112.910536986522
64,16,-109.22339721786
65,16.25,-104.746464205749
66,16.5,-99.6041018535401
67,16.75,-93.9552413810207
68,17,-87.9986838504522
69,17.25,-81.9763095741487
70,17.5,-76.1729973407476
71,17.75,-70.9122185961163
72,18,-66.5465812323379
73,18.25,-63.4430478779187
74,18.5,-61.963115124338
75,18.75,-62.4388611185482
76,19,-65.1463808659343
77,19.25,-70.2786545839789
78,19.5,-77.9202582606485
79,19.75,-88.0264606809558
80,20,-100.409111652995
81,20.25,-114.731299738679
82,20.5,-130.512077584692
83,20.75,-147.141699323095
84,21,-163.906899894891
85,21.25,-180.024885151833
86,21.5,-194.683980927766
87,21.75,-207.088354626948
88,22,-216.503888248927
89,22.25,-222.302150072996
90,22.5,-223.999488942373
91,22.75,-221.28856500383
92,23,-214.060122778254
93,23.25,-202.413466431781
94,23.5,-186.654844748775
95,23.75,-167.283715572283
96,24,-144.967573064145
97,24.25,-120.50665860545
98,24.5,-94.790445638578
99,24.75,-68.7483096673724
100,25,-43.2972623593912
101,25.25,-19.2899916062839
102,25.5,2.53338345160816
103,25.75,21.5865545533874
104,26,37.4684315338972
105,26.25,49.9826432813756
106,26.5,59.1440254949102
107,26.75,65.1720193732449
108,27,68.4718740795124
109,27.25,69.6053590578446
110,27.5,69.2532965555032
111,27.75,68.1725957947891
112,28,67.1506043770603
113,28.25,66.9595065957675
114,28.5,68.3132340294276
115,28.75,71.8289746490548
116,29,77.9949424418182
117,29.25,87.1456519101309
118,29.5,99.4455451088422
119,29.75,114.881419558732
120,30,133.263664041641
121,30.25,154.235805660064
122,30.5,177.291333619258
123,30.75,201.796276323954
124,31,227.015686174335
125,31.25,252.142139059609
126,31.5,276.324631185105
127,31.75,298.696807339414
128,32,318.404139232584
129,32.25,334.630293017577
130,32.5,346.623297517823
131,32.75,353.722141101545
132,33,355.384084981276
133,33.25,351.212381091127
134,33.5,340.983378475509
135,33.75,324.671355340274
136,34,302.468950309535
137,34.25,274.800850807543
138,34.5,242.328433018225
139,34.75,205.943304980307
140,35,166.748153096347
141,35.25,126.023935821311
142,35.5,85.1833393458188
143,35.75,45.7115311370642
144,36,9.09657409877085
145,36.25,-23.2467491332701
146,36.5,-50.0547398270156
147,36.75,-70.2884750886162
148,37,-83.1975094617519
149,37.25,-88.3682884938249
150,37.5,-85.7532113914404
151,37.75,-75.6779772710405
152,38,-58.8267481397168
153,38.25,-36.2064962455412
154,38.5,-9.09345841030358
155,38.75,21.0342421241247
156,39,52.5730828578664
157,39.25,83.8748176165509
158,39.5,113.326626244151
159,39.75,139.426529519341
160,40,160.850535408124
161,40.25,176.508701004112
162,40.5,185.587969680953
163,40.75,187.580256565525
164,41,182.294855497507
165,41.25,169.854905494215
166,41.5,150.678438269145
167,41.75,125.445417993831
168,42,95.0530954322224
169,42.25,60.5628035470595
170,42.5,23.1418952195997
171,42.75,-15.9952224418716
172,43,-55.6431042292277
173,43.25,-94.6549228025553
174,43.5,-131.983085891896
175,43.75,-166.709085287281
176,44,-198.061930686338
177,44.25,-225.425640820721
178,44.5,-248.337302826747
179,44.75,-266.478028598882
180,45,-279.659592919661
181,45.25,-287.809535507838
182,45.5,-290.957043385585
183,45.75,-289.221111131173
184,46,-282.801504168606
185,46.25,-271.972148893608
186,46.5,-257.075920343058
187,46.75,-238.519477851747
188,47,-216.766803283769
189,47.25,-192.330358534694
190,47.5,-165.759218026015
191,47.75,-137.624078671458
192,48,-108.499647561159
193,48.25,-78.9454966388643
194,48.5,-49.4869782817587
195,48.75,-20.5981274130199
196,49,7.31144815697084
197,49.25,33.9039208191038
198,49.5,58.913622096059
199,49.75,82.1400529798912
200,50,103.434129205714
201,50.25,122.679295292416
202,50.5,139.770034093965
203,50.75,154.590885086743
204,51,166.999229762542
205,51.25,176.814737409358
206,51.5,183.817510258915
207,51.75,187.755743547691
208,52,188.362329252267
209,52.25,185.378533358937
210,52.5,178.581901389171
211,52.75,167.815053562286
212,53,153.012060100202
213,53.25,134.219562471523
214,53.5,111.610573508169
215,53.75,85.4897739008609
216,54,56.2899811650264
217,54.25,24.5602133715693
218,54.5,-9.05362786579778
219,54.75,-43.8339705639141
220,55,-79.0208692510703
221,55.25,-113.843376710885
222,55.5,-147.550928112902
223,55.75,-179.442778097241
224,56,-208.89379301717
225,56.25,-235.375298655796
226,56.5,-258.470168646689
227,56.75,-277.881841221217
228,57,-293.437400738115
229,57.25,-305.085203979712
230,57.5,-312.88775086366
231,57.75,-317.010609293682
232,58,-317.708238205627
233,58.25,-315.307547252872
234,58.5,-310.190010853525
235,58.75,-302.773128003908
236,59,-293.491984021241
237,59.25,-282.781615880784
238,59.5,-271.060798760102
239,59.75,-258.717754858781
240,60,-246.098146828803
241,60.25,-233.495581704898
242,60.5,-221.144748248673
243,60.75,-209.217263444862
244,61,-197.820309128612
245,61.25,-186.998161541276
246,61.5,-176.736698656354
247,61.75,-166.970863458572
248,62,-157.594853301195
249,62.25,-148.474530922175
250,62.5,-139.461280064802
251,62.75,-130.406328603235
252,63,-121.17447802241
253,63.25,-111.65621411497
254,63.5,-101.777303533587
255,63.75,-91.5051689734719
256,64,-80.8515577321021
257,64.25,-69.8712689114279
258,64.5,-58.6569914537327
259,64.75,-47.3306333825583
260,65,-36.0318763526051
261,65.25,-24.9050234943461
262,65.5,-14.0854539651298
263,65.75,-3.68708562888674
264,66,6.2078611210282
265,66.25,15.5557976912243
266,66.5,24.3548125494278
267,66.75,32.6436871187279
268,67,40.4971443331556
269,67.25,48.0179056736463
270,67.5,55.3263507477184
271,67.75,62.5487110766906
272,68,69.8048040365351
273,68.25,77.1963319384759
274,68.5,84.796733508856
275,68.75,92.643475220708
276,69,100.733503517085
277,69.25,109.022342772362
278,69.5,117.427016122855
279,69.75,125.83259204767
280,70,134.101742512621
281,70.25,142.086293620918
282,70.5,149.639444499872
283,70.75,156.627223609516
284,71,162.937912052351
285,71.25,168.488582382786
286,71.5,173.228473794325
287,71.75,177.13947718387
288,72,180.234366818209
289,72.25,182.55350123292
290,72.5,184.160556452912
291,72.75,185.137576465877
292,73,185.57938056659
293,73.25,185.587258916275
294,73.5,185.26193856228
295,73.75,184.695964767039
296,74,183.965841036051
297,74.25,183.124442691902
298,74.5,182.194333151688
299,74.75,181.162668081588
300,75,179.978379820237
301,75.25,178.552294553211
302,75.5,176.760732998233
303,75.75,174.452955150885
304,76,171.462506306015
305,76.25,167.622099839228
306,76.5,162.781160489187
307,76.75,156.824618246274
308,77,149.691088788058
309,77.25,141.388314748929
310,77.5,132.003764672125
311,77.75,121.708631423347
312,78,110.754108055705
313,78.25,99.4596552385112
314,78.5,88.1938867662191
315,78.75,77.3495644930403
316,79,67.3149091532706
317,79.25,58.4439248083092
318,79.5,51.0286511121269
319,79.75,45.276165340709
320,80,41.2927398910378
321,80.25,39.0768342818827
322,80.5,38.521619553829
323,80.75,39.4266043318161
324,81,41.5168101128705
325,81.25,44.4670104847242
326,81.5,47.9279780494868
327,81.75,51.5515929019691
328,82,55.0120835965893
329,82.25,58.0215124381781
330,82.5,60.338705771968
331,82.75,61.771943592861
332,83,62.1766491891151
333,83.25,61.4499078758902
334,83.5,59.5238302755374
335,83.75,56.359580192967
336,84,51.9433915593058
337,84.25,46.2852193814688
338,84.5,39.4199365288997
339,84.75,31.410332896864
340,85,22.350714965266
341,85.25,12.3697283778123
342,85.5,1.63116323038373
343,85.75,-9.66809287525778
344,86,-21.303227166063
345,86.25,-33.0295009636559
346,86.5,-44.592328383727
347,86.75,-55.7384370339211
348,87,-66.2270689392284
349,87.25,-75.8402942349036
350,87.5,-84.3917157881292
351,87.75,-91.733081537985
352,88,-97.7585567184736
353,88.25,-102.406622598547
354,88.5,-105.659752034379
355,88.75,-107.542154720649
356,89,-108.115975509573
357,89.25,-107.476361236477
358,89.5,-105.745789527075
359,89.75,-103.067993624399
360,90,-99.601744701973
361,90.25,-95.5146912582446
362,90.5,-90.9774189788529
363,90.75,-86.1578851372834
364,91,-81.2163872458248
365,91.25,-76.3012268630601
366,91.5,-71.5452078914063
367,91.75,-67.0630553182197
368,92,-62.9497602132973
369,92.25,-59.2797684156291
370,92.5,-56.1068593129411
371,92.75,-53.4645298540728
372,93,-51.3667168062104
373,93.25,-49.808748855021
374,93.5,-48.7684962084419
375,93.75,-48.2077502671445
376,94,-48.0738969963268
377,94.25,-48.3019363702419
378,94.5,-48.8168542021134
379,94.75,-49.5362907864584
380,95,-50.3733947456567
381,95.25,-51.2397158812035
382,95.5,-52.0479825666146
383,95.75,-52.714623098379
384,96,-53.1619192556376
385,96.25,-53.3197196441111
386,96.5,-53.1266897097299
387,96.75,-52.5311343522405
388,97,-51.4914925797368
389,97.25,-49.9766589061257
390,97.5,-47.966315625909
391,97.75,-45.4514475570976
392,98,-42.4351484094069
393,98.25,-38.9337205660571
394,98.5,-34.9779369384057
395,98.75,-30.6142057540803
396,99,-25.9052931612958
397,99.25,-20.9302454989593
398,99.5,-15.7832263062581
399,99.75,-10.5711298534079
400,100,-5.41001622368148
401,100.25,-0.420584747882931
402,100.5,4.27697799562558
403,100.75,8.56839202006591
404,101,12.3505552901067
405,101.25,15.5363900832685
406,101.5,18.0590350502493
407,101.75,19.8752122509979
408,102,20.9676299014061
409,102.25,21.3462900603185
410,102.5,21.0485738236948
411,102.75,20.1379980035393
412,103,18.7015947173251
413,103.25,16.8459626077302
414,103.5,14.6921621697882
415,103.75,12.369751719169
416,104,10.0103558602647
417,104.25,7.74120384869988
418,104.5,5.67906482894242
419,104.75,3.92494958986034
420,105,2.55986264410994
421,105.25,1.64179334932029
422,105.5,1.20404345159718
